Model,Model Best Parameters,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,val-accuracy_score,test-accuracy_score,train-precision_score,val-precision_score,test-precision_score,train-recall_score,val-recall_score,test-recall_score,train-f1_score,val-f1_score,test-f1_score,train-time,val-time,test-time
Random Forest,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 5, 'n_estimators': 300}",0:00:48.111015,3000,0.016037005,0.9996666666666667,0.838,0.86,0.9996709443896018,0.8415261996682348,0.863913435862981,0.9996663329996663,0.8388080418804084,0.863067996843025,0.999668473904272,0.8368745810312963,0.8596395977756844,3.1404e-05,4.349e-05,4.5632e-05
Decision Tree,"{'max_depth': 5, 'max_features': 20, 'splitter': 'best'}",0:00:00.330810,3000,0.00011027,0.814,0.762,0.747,0.8162915914950745,0.764799993235369,0.7495370061332368,0.8142991169617391,0.7617885697540636,0.7496753916832019,0.81260157727727,0.7608902925460065,0.7462705253819713,5.023333333333333e-07,9.99e-07,9.98e-07
K-Nearest Neighbors,"{'n_neighbors': 15, 'weights': 'uniform'}",0:00:00.545214,3000,0.000181738,0.8793333333333333,0.828,0.836,0.8801029095935484,0.8281390346292007,0.8364398704021346,0.8794603654731731,0.828268131284296,0.8374046285327054,0.8790867465853521,0.8275398148571106,0.8360632377650828,3.377933333333333e-05,3.8038000000000004e-05,4.2035e-05
Support Vector Machine,{'kernel': 'rbf'},0:00:00.782653,3000,0.00026088433333333334,0.907,0.858,0.857,0.9075584578020198,0.858059622329514,0.8581635805330533,0.9070246748878362,0.8583742614555488,0.8590254925189768,0.9068355617462713,0.8577876815746793,0.8569359666869757,7.497133333333333e-05,7.620399999999999e-05,7.9372e-05
Neural Network (MLP),"{'activation': 'identity', 'batch_size': 4, 'learning_rate': 'adaptive'}",0:02:19.187453,3000,0.046395817666666665,0.8853333333333333,0.851,0.852,0.8882215192631079,0.85365102797463,0.8558298730216043,0.8856677172315864,0.8505174947447642,0.853230347045157,0.8850680955268957,0.8499764581575256,0.8513916883518388,9.993333333333333e-07,2.001e-06,1.598e-06
