Model,Model Best Parameters,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,val-accuracy_score,test-accuracy_score,train-precision_score,val-precision_score,test-precision_score,train-recall_score,val-recall_score,test-recall_score,train-f1_score,val-f1_score,test-f1_score,train-time,val-time,test-time
Random Forest,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 5, 'n_estimators': 300}",0:00:47.169664,3000,0.015723221333333332,1.0,0.835,0.862,1.0,0.8378716676557968,0.8649188486145007,1.0,0.8359864884932685,0.8649267010857112,1.0,0.8337940187446885,0.8615662913271228,3.286966666666667e-05,4.3656000000000004e-05,4.5771e-05
Decision Tree,"{'max_depth': 5, 'max_features': 20}",0:00:00.251192,3000,8.373066666666668e-05,0.8063333333333333,0.724,0.748,0.8086751062730583,0.7259182538999512,0.7498104828927005,0.8064366492913847,0.7248310250665376,0.7512077812825183,0.8046127974434244,0.7220530990999499,0.7474364878603609,5.016666666666667e-07,1.002e-06,9.539999999999999e-07
K-Nearest Neighbors,"{'n_neighbors': 15, 'weights': 'uniform'}",0:00:00.520008,3000,0.000173336,0.8793333333333333,0.828,0.836,0.8801029095935484,0.8281390346292007,0.8364398704021346,0.8794603654731731,0.828268131284296,0.8374046285327054,0.8790867465853521,0.8275398148571106,0.8360632377650828,3.355133333333333e-05,3.6033999999999994e-05,4.0047e-05
Support Vector Machine,{'kernel': 'rbf'},0:00:00.790295,3000,0.00026343166666666665,0.907,0.858,0.857,0.9075584578020198,0.858059622329514,0.8581635805330533,0.9070246748878362,0.8583742614555488,0.8590254925189768,0.9068355617462713,0.8577876815746793,0.8569359666869757,7.3475e-05,7.4013e-05,7.374600000000001e-05
Neural Network (MLP),"{'batch_size': 6, 'learning_rate': 'adaptive'}",0:00:32.982989,3000,0.010994329666666669,1.0,0.821,0.84,1.0,0.8208973719463032,0.8404905444431137,1.0,0.8211919815482833,0.8397134508911087,1.0,0.8209775780498975,0.8400397790773632,1.3333333333333334e-06,1.95e-06,2.8730000000000003e-06
